"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
冰箱怎么老滴滴想,"您好！冰箱报警声可排查冰箱门是否关严，关严还是噪音大可电子保修卡一键报修服务人员上门为您检测一下，谢谢！
"
怎么设置冷冻的温度,
海尔冰箱工作时，后面散热器噪声较大怎么办？,您好！冰箱噪音大可排查冰箱底角是否调平，如果调平还是噪音大可电子保修卡一键报修服务人员上门为您检测一下，谢谢！
请问电磁炉各种触摸键都可以操作但不发热是什么问题？,尊敬的用户您好，给您添麻烦了，根据您描述的电磁炉不发热的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
我的洗衣机是智能投放的，但是只在第一次使用时柔顺剂可以正常投放，之后就一直只能投放洗衣液，柔顺剂不能正常投放，并且会报警显示没有柔顺剂，是什么原因,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
波轮洗衣机老是响怎么办,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看下洗衣机是否放平，或者衣服都挤到一边导致内桶有点偏心，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
18223280079,
你好，我买的海尔燃气热水器，因为吊顶所以先把热水器安上了，那时候也没使用也没调试看看，现在打开使用的时候，发现安装工人没有把冷热水那接头接紧，有点滴水，还有打开使用的时候就能闻到一股燃气味，顶的头晕恶心的，是不是哪里漏气呢？,您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
新买的冰箱，发现启动时两侧不热不烫，启动时间20分钟，停15分钟,"尊敬的用户您好，您没有说明您具体是遇到了什么问题哦，如您遇到了您自己处理不了的问题可通过海尔服务微信服务号或APP报修，紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望我的回答能够帮到您。
"
请问热水器上中温保温只可以在遥控上按，机子上按不了，这是什么问题？,请告知下您热水器型号
你好！这几天在海尔专卖店买了冰箱，只开了发票，没有保修证，说是有发票就可以，是这样吗？,尊敬的用户您好！现在我们的保修卡全部更改为电子保修卡，您只需通过微信服务号或APP报修即可，紧急情况可直接致电4006999999
怎样甩干,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
冰箱的侧面外壳摸着特别烫，怎么回事呢？,尊敬的用户您好！冰箱侧板贴覆了冷凝器，是用来给冰箱散热的，冰箱在正常的运行中侧板会散发热量；建议您在使用过程中冰箱两侧和后背保持10以上的散热距离。如您对此问题仍有疑问，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
电视屏幕比较暗，怎么把亮度调亮,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况，可以进入图像设置界面调整色度等参数，或者您参考说明书具体操作一下，或者直接致电4006-999-999，希望可以帮到您！
"
T_T 冰箱底座不平，售后调完向后挺，说是正常后来发现冰箱底座有一块凹会去。,尊敬的用户您好！冰箱正常情况要调整向后微倾状态，您反映的底座凹问题，底座属于包装辅料建议您在使用时将其去掉使用，谢谢
洗衣机脱水时声音太大就像第震一样,您好，给您添麻烦了，这个问题原因很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
洗衣机电流声大咋回事,您好，给您添麻烦了，这个问题原因很多，具体请微信报修让服务人员上门检查，紧急情况请拨打4006999999客服，谢谢
刚买一个月的海尔摩卡电视就有声音为画面，搞人。维修说直接换主板，什么电视。海尔太失望了。,您好:抱歉给您添麻烦了！请你换个频道或信号源输入信号观察，实际鉴定待人员上门检查后才能判断出，日常服务需求建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
滚桶洗衣机无法甩干,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
刚买的冰柜没几天就出现有响声怎么办,"尊敬的用户您好！给您添麻烦了，根据您描述的噪音大问题，由于不在现场，无法准确判断是否正常，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
""""

""
"
新买滚筒变频洗衣机，脱水时响声大来像开拖拉机一样，该咋办？,你好非常抱歉给您添麻烦了，1：洗衣机是否有售后人员上门安装，2：洗衣机运输包装固定螺丝是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多和偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
洗衣机接水口怎么安装？xqb75_z1626,
XQG56-b1286不排水怎么回事,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
客厅柜式空调怎样打开清理滤网？,您好，请提供一下具体的型号，每个型号不同，操作不同，一般通常是下方的左右底部进风口，找到过滤网进行清洗拆卸
空调开不开机怎么办？遥控器有显示，很正常，就是来不来机,"请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
海尔家电热水器通电才能上水吗？,您好，电热水器在正常使用过程中，内胆持续处于水满状态，热水器出水靠进水压力压出。与是否通电没有关系。
我的洗衣机洗放服的时候调不好,"尊敬的用户您好！给您添麻烦了！洗涤单件比较大的衣服如

：羊毛衫、毛巾被、厚外套、毛衣等，吸水后重量比较大，且单件衣物不容易分

布均匀，比较容易出现偏心情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！ 
"
变温区,尊敬的用户您好，给您添麻烦了，您没有具体说您遇到了什么问题，如果有什么解决不了的问题，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
为什么冰箱里面有很多水珠？什么是：优化中？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
滚桶侧开门全自动洗衣机为何老是提醒E1，洗一次就要手动排水，太麻烦了。,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
你们海尔还有没有职业道德，业界良心，有没有人为你们的残次品负责？今年1月买了海尔双开门冰箱，花了7000多，结果使用不到1个月，冰箱爆炸开裂，给我老母亲吓的直哆嗦，打了客服电话说下午4点到6点派人来看情况，结果一直没来，再打客服无人接听，请问海尔就这样的信誉吗？海尔就这样的质量吗？海尔就是以赚钱为目，置消费者于不顾吗？海尔的产品是纸糊的吗？你们就是看见票子往前冲，出了问题往后躲，坑害老百姓，你们的良心在哪里？,"尊敬的用户您好！对于您反馈的问题我们深表歉意，请您提供详细地址、电话、冰箱故障，以便帮您核实解决！

"
我过年买的洗衣机，怎么买的全自动，但是每次洗完了就的从新按混干，给客服打电话也说不出什么?_?真是气人，我想问一下到底什么情况？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
我的洗衣机在羊毛模式为什么改不了其他模式？,你好非常抱歉给您添麻烦了，请长按电源键3秒，关机再开机即可，谢谢
洗衣机甩干的时候声音特别刺耳 不正常的声音怎么回事,你好非常抱歉给您添麻烦了，1：是否有售后人员上门安装，2：洗衣机运输包装固定螺栓是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多或偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后人员上门检测处理，谢谢
刚买的电视内存不足怎么办,你好：抱歉给您添麻烦了！内存用户菜单中操作一键清理，所安装软件尽量安装在TF卡上，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
9月30号更换电脑版后速热功能不起作用，请问怎么回事？,您好，请在微信上报修由海尔服务人员上门检测
为什么没人回答,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
甩衣服没劲，还往外漏水，从排水口排出，甩干那里有时候不转，就是转也甩不干甚至滴水还,"尊敬的用户您好！给您添麻烦了！请您检查一下是否衣物放置过多，衣服有没有打结，如果衣服要是缠到一起，为了避免洗衣机剧烈震动，那么洗衣机就不起高速。重新整理之后再选择甩干程序。这个功能叫智能偏心保护，说明书中有详细的描述。漏水情况请检查水龙头是否漏水（建议使用海尔指定的水龙头）；是否将进水管与洗衣机连接处拧紧。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！

"
燃气灶简修多少钱,您好，请微信号提出需求，专业服务人员上门鉴定，根据实际情况按照标准进行收费。
海尔统帅冰箱245升的启动噪音大,"""尊敬的用户您好!压缩机相当于冰箱的马达，冰箱制冷时，压缩机内部机械是运转的，任何机械部件的运转都要产生一定的声音。海尔选用的压缩机都是高效节能的压缩机，使冰箱在最短的时间达到制冷效果，压缩机的运转功率较大。
如您对此问题仍有疑问，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999""
"
我刚买的海尔滚筒全自动洗衣机。让它调到洗涤内衣50分钟上，它洗到47分钟上就停止工作。反复开始几次都出现这样的问题，请问这是为什么,您好，给您造成麻烦深感抱歉，这个可能是平衡没有调整好，具体请微信报修让服务人员上门检查，谢谢
只要插着电源增压泵就不停的响,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
我在海尔仓库买的空调有免费安装和售后服务吗？,尊敬的用户您好！给您添麻烦了！安装是需要收费的呢，具体的收费标准师傅都有报价单的哦 [hx] ，不出示可以拒付的 ，售后服务都是可以正常享受的，希望我的回答可以帮到您！
LS55AL88C51A3带底座的吗,尊敬的用户您好！给您添麻烦了！由于不在现场无法为您准确核实的原因，建议您跟销售人员了解一下具体情况，希望我的回答能够帮到您o(∩_∩)o…
我购买的G8071812S洗衣机出水口是否必须高于80CM安装,你好非常感谢您选择海尔产品，是必须高于80厘米，谢谢
我想问你们。我们才买的洗衣机咋摔不干净水难。,你好非常抱歉给您添麻烦了，请参考说明书第八项其他功能介绍：偏心保护功能，或通过海尔服务报修由服务人员上门检测具体原因，谢谢
洗衣机洗衣服正常，不甩干，时间长就自动关机了,你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门检测具体原因，谢谢
冰箱冷藏室结冰，什么原因,"感谢您选用海尔冰箱，如或是新买的风冷海尔冰箱开始轻微结冰是正常现象，在使用一段时间之后冰会逐渐消失，如果是直冷式冰箱，则会有轻微的结冰现象。这些都是正常现象。建议观察使用，或者建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
"
BCD-179冰柜不制冷,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看一下电源有没有插好，或者温度是否设置正确，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
你好:海尔LE42A3000的型号在你们海尔官网怎么查不到，望回复，谢谢。,您好：抱歉给您添麻烦了！查相近尺寸有LE40A3000，日常服务有需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
海尔滚筒洗衣机脱水时老是震动到机子也会响,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
请,
滚筒洗衣机的功率多大,您好，给您添麻烦了，这个请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
海尔洗衣机脱水很晃,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
滚筒洗衣机今天刚装好，洗衣服的声音有点大，什么原因,你好非常感谢您选择海尔产品也很抱歉给您添麻烦了，1：洗衣机底角是否调平和锁紧，2：洗涤衣物是否过多或偏心不平衡导致，3：建议你空桶试试看，谢谢
我的冰箱保鲜温度太高怎么调节,尊敬的用户您好！感谢您选择海尔电器，如您是电子温控冰箱，在非锁定状态下按冷藏调节键调节即可，或查看说明书功能说明区进行调节。日常如有服务需求可以通过海尔服务APP快速维修等版块提报服务需求。 
洗衣机洗涤声音很大，是什么原因？,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
为什么排水管放下洗衣机洗衣服这边的水都流没有了？,你好非常抱歉给您添麻烦了，这种情况属于排水阀内掉入异物导致，具体请通过海尔服务报修由服务人员上门检测，谢谢
洗衣机放阳台上怕晒吗,尊敬的用户您好，给您添麻烦了。洗衣机不能阳光暴晒哦建议您放在阴凉处，紧急情况直接致电4006-999-999，希望能帮到您。
洗到一半报警，显示FC,你好非常抱歉给您添麻烦了，首先请查看电源电源是否过低导致此故障，这个代表是通信不良导致，或请尽快通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
刚买的冰吧，无降温效果，感觉比室温还高,"尊敬的用户您好！首先感谢您选择海尔产品，由于不知现场状况，无法判断是否正常，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
"
我家的滚筒洗衣机也是刚3年多机体就生锈,你好非常抱歉给您添麻烦了，导致此问题是使用环境潮湿原因，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
洗衣机漏水,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
您好，空调的管道可以90度拐弯吗,你好，空调的管路不能弯成直角，可以呈现90度，但弯处不能折成90度，角必须掰成圆弧，否则90度的直接，管路就弯瘪。
"去年10份买的大神童洗衣机,现甩干时机器常伴有""叭叭叭…""比较大的声音到停止甩干,不知什么原因,怎么解决为好?",你好非常抱歉给您添麻烦了，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
电视如何用优盘,您好：抱歉给您添麻烦了！请将U盘插到电视Usb端口，U盘中内容要与电视说明书所支持的文件格式对应，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
我家的热水器从九月份开始因总是跳闸修了多次修不好，售后都不来修了，一打电话说今天来，实际上就石沉大海了，果然真诚到永远！,您好，很抱歉给您添麻烦了！请确认空开负载是否满足，或空开相同线路内是否有其他大功率电器，导致负载过大。若没有问题，可致电4006999999反应您的问题，要求售后再次上门。
洗完了衣服电源开关灯不熄灯,抱歉给您添麻烦了！建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
我刚买的MS80_BZ15288KG洗涤没有力度，衣物无法360度反转，怎么回事？,您好，给您添麻烦了，这个原因有很多，具体请微信报修让服务人员上门检查，谢谢
全自动洗衣机，断电后开机显示FC3，怎么办,建议海尔服务报修由服务人员上门检测，谢谢
热水器洗了不到十分钟就凉了怎么事？,您好，热水器出温水时间与进水温度，洗澡用水温度，花洒流量有关，如60L热水器，加热至75度，进水温度15度，出水温度40度，花洒流量8L/min，则理论可以连续出温水18分钟。
我买的全自动洗衣机大神通XQB75-M1269S，我清洗内桶后怎样手动排水，就是把脏水放掉,抱歉给您添麻烦了！启动单脱水功能即可，谢谢
洗衣机bx12636的温度调节按钮，按了没反应，是不是坏了？,1：机器启动之后温度按键不可以调整，2：如果设定童锁功能温度键也是不可以调整，建议取消童锁功能或关机后重新开机，谢谢
热水器第一次用，热水有些发白，正常吗,您好，热水器放出的水可能带有微小气泡，看上去发白，等待一会儿后，看是否清澈，若不能请联系海尔专业售后人员上门检测。
我家洗衣机双十一买的，洗衣机时洗洗出现故障，桶洗衣时声音好大不平衡一样，是怎样回事？,你好非常抱歉给您添麻烦了，1：洗衣机是否有售后人员上门安装，2：洗衣机运输包装固定螺丝是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多和偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
卡萨帝冰箱冷藏室温度下不去，调3度，量出来也就8-10度，以前不会。,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况可能是电压过低或电路、压缩机等故障，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
冰箱520升，运行时候声音大晚上睡觉得关门才能睡觉，这么大声音正常么,"尊敬的用户您好！首先感谢您选择海尔产品，冰箱工作时会有一定声音，由于不知现场状况，无法判断冰箱声音是否正常，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
"
我的热水器怎么加不了热了？,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您看一下电源有没有插好或者插座是否有电，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
我前几天买的电视显示屏有松动是否正常。,"您好：抱歉给您添麻烦了！可以由上门人员实地鉴定一下，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
"
电视机看的时候自动重启是怎么回事？,您好：抱歉给您添麻烦了！关交流电源开关重启观察，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
Haier/海尔 EG7012B29W 7公斤用了10个月了，现在感觉好像不能高温消毒了,尊敬的用户您好，给您添麻烦了，根据您描述的情况建议您模式是否选择正确，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
电视为什么有网却显示缓冲失败，请检查网络设置后重新播放,你好：抱歉给您添麻烦了！请你使用手机或pad验证网络情况，无线如不好，请使用有线连接验证，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
我买的洗衣机，为何洗完衣服后老是不能自动干衣呢？型号EB80BM2WU1  洗完之后出现E3提示，我要把衣服都拉开重新按才有可能自动干衣，这样子经常要人干预的，好难全是全自动啊，请问这个能解决么？,你好非常抱歉给您添麻烦了，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
我的海尔热水器插上电为什么有声音？,"""加热管加热过程产生的声音，就像电水壶加热声音原理一样；由于热水器内胆密闭承压，保温层也起到一定隔音效果，因此声音相对较小。
随使用时间的增长，结水垢后声音会有所增加，清洗内胆可缓解。
加热区域集中的噪音会较明显，如3D加热时噪音会较大；
水压突然降低会有异响，如开混合阀时，有时会有“咔咔”声；""
"
我买的海尔新灶台，怎么打不燃火,您好，你反映的现象可能有几种情况，已正常通气的情况下是否进气管有挤压或折弯；是否将电池塑料膜撕开。另外新机初次点火需要按压旋钮时间稍长，以便燃气进入通气管。若仍不能排除不点火现象请致电4006999999或海尔微信服务号提报您的需求。
请问我买的是eg80b829g这款滚筒洗衣机，选择不同的程序洗涤衣物，他的转速是一样的吗？如果不一样可以分别告诉我一下转速吗？,你好非常抱歉给您添麻烦了，请查看机器上面的设置或根据使用说明书进行查看，谢谢
请问海尔净水器最新款是哪款？,感谢你对海尔净水机的关注，我们现在推出的新款是以大通量、寿命自动显示以及出水水质实时显示的功能为主的新型号。你可以到我们销售门店或者官方商城上去查看一下。
多年前购买了一台海尔“宝德龙”29F9A_P彩电，已过保质期。近期，一开机，就像一块毛玻璃，慢慢地恢复正常。这种情况越来越严重。请问这是什么问题？请答复，谢谢！,您好:抱歉给您添麻烦了！看型号是CRT显像管类型的机型，，看问题像是管座坏了，也不排除显管老化，你所使用的机型至少10年了，已经超过使用寿命期了，日常有服务需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
你好！卡萨帝洗衣机在烘干时有,你好非常抱歉给您添麻烦了，1：洗衣机是否有售后人员上门安装，2：洗衣机运输包装固定螺丝是否拆下，3：洗衣机底角是否调平和锁紧，4：洗涤衣物是否过多和偏心不平衡导致，5：以上排除请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
冰箱内部的泡沫及标签，影不影响正常使用,尊敬的用户您好！感谢您选择海尔电器，冰箱内部泡沫是在运输过程中起到保护作用的，建议您在使用过程中将其去掉，标示贴是标示作用，不会影响到冰箱的使用；如有服务需求，您可通过“海尔服务”微信服务号或APP报修，紧急情况可直接致电4006999999。
我新买的全自动洗衣机，第一，常规，冲浪洗，速洗，消毒洗，转发一摸一样的，那这么都功能说白了就是一种功能！第二，洗的时候左面转半圈九回复到右边转半圈，感觉很没劲，这能洗干净衣服吗？还是这个洗衣机有问题！第三，甩干没有老式双桶那种甩的干！第四，桶干燥功能个甩干功能转发一样，这不又是功能重合吗，还有就是桶干燥功能第一次点是要50多分钟，第二次10分钟，第三次又50多分钟，这怎么回事？求大神指教,你好非常抱歉给您添麻烦了，1：转发是一样的，只是时间长短有差异，2：全自动洗衣机转动幅度是没有双桶的大，因为全自动洗衣机设计是减低对衣物的磨损，同时也降低衣物缠绕。全自动洗衣机洗净比已达到国标规定。3：全自动洗衣机脱水转速在600-800转，双桶洗衣机脱水转速是1000转以上，4：桶干燥功能是用来干燥内桶潮气和水气的不是用来洗衣服的，请放心使用，谢谢
空调一会以放气不出嗳风T,"您好，请通过首页一键维修进行报修，或拨打4006999999我们会安排专业的服务人员上门服务，谢谢。
"
我的天沐空气能热水器加热的时候，空调外机达达的响，有金属撞击声,"您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
刚买的无霜冰箱发现3个冷冻箱外面有霜，是不是有问题,尊敬的用户您好！根据您描述的冰箱有霜问题，由于不在现场，无法准确判定是否正常，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求。紧急情况可致电4006999999
空调清洗保养收费？,您好，冬季保养是免费的，请拨打售后服务热线4006999999进行预约
有这个型号的电脑板吗    XQS55-0538  QD,感谢您选择海尔洗衣机产品，这个可以报修让服务人员上门检查，感谢来询，日常如有服务需求可通过海尔服务微信服务号或APP提报服务，紧急情况可致电4006999999。
我家冰箱接通电源后冰箱灯不亮，不工作,"尊敬的用户您好！建议您查看冰箱插头是否插接到位，活动插头仍不能正常工作，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解决，紧急情况可直接致电4006999999
"
您好，今天下午我洗了一件毛衣，只有一件，10公斤的滚筒洗衣机。为什么结束后没有脱水？,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
请问冰箱购买后能不能再次长途运输？,尊敬的用户您好，很抱歉给您添麻烦了，冰箱运输一定要注意，千万不能放倒运输，必须和使用的时候一样竖着运输，搬运之前建议您咨询一下专业人员，您可以致电4006-999-999具体问一下，希望能帮到您。
五十升的热水器，一个人都洗不完就凉了为什么,"您好，电热水器连续出温水时间与进水温度，花洒流量，洗澡用水温度有关。如60L热水器加热至75度后，若进水温度15度，花洒流量7L/min，洗澡用水温度40度，理论可连续出温水时间20分钟。一般冬天进水温度会低于15度，若采用顶喷大花洒流量会大于7L/min，连续出温水时间会更短。建议适当降低洗澡用水温度，适当减小花洒流量，洗浴过程同时通电加热可略有提升出温水时间。
"
脱水很响,你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门检测具体原因，谢谢
冰箱，右侧底下的灯开门时不亮。,"尊敬的用户您好！您是购买的什么型号的冰箱，您所指的有可能是光波保鲜灯，它不是开门亮的，它是根据食物的保鲜程度循环闪烁的。如您对此仍有异议，建议您通过手机App报修，让专业服务人员给您鉴定！

"
我购买的海尔洗衣机刚刚到的货为什么洗完衣服有一股烫头发的内种臭味？,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门检测处理，谢谢
调节功能的指针不转怎么弄,尊敬的用户您好，您没有说明您具体是遇到了什么问题噢，如您遇到了您自己处理不了的问题可通过海尔服务微信服务号或APP报修，紧急情况可致电海尔全国售后服务热线4006-999-999咨询，希望我的回答能够帮到您o(∩_∩)o…
看网路电影出现错误代码1怎么解决,
电视打不开，指示灯也不亮,您好：抱歉给您添麻烦了！请检查电源插头是否松动或取消睡眠定时项目观察，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
我买的抽油烟机包装内差一块弧形钢化玻璃，我要求换一台,您好，请微信号提出需求，具体情况由专业服务人员上门鉴定。
-滚筒洗衣机出现unb怎么回事,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
海尔冰箱除冰后，插电后冰箱啪啪响怎么回事,"尊敬的用户您好！给您添麻烦了，根据您描述的异音问题，由于不在现场，无法准确判断是否正常，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
""""

""
"
我卖的是网络电视机，今天早上打开电视跳出来个对话框说是更新系统，不更遥控上的键就什么也按不动，我想问一下以后这种情况也的更新吗，对电视的内存走影响吗？,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
冰箱起功时嗡嗡声很大什么原因,尊敬的用户您好！给您添麻烦了！请您注意一下是否是在放置大量物品是才会出现这种情况，还是声音一直持续不间断，当在变频冰箱内置放大量物品时，冰箱需要大量制冷，此时冰箱以高频运转，此时的压缩机运转声音比较大；2）当冰箱置放物品比较稳定，冰箱制冷处于正常的维持状态，此时冰箱以低频运转，此时冰箱压缩机运转噪音一般比较小。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
